Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
72,Estimates,Liberia,,430,Country/Area,914,6.27,6.35,6.47,6.59,6.8,6.93,6.96,6.72,6.27,6.05,5.65,5.2,4.75,4.35
73,Estimates,Mali,,466,Country/Area,914,6.95,6.95,7,7.1,7.15,7.15,7.15,7.15,7.15,6.95,6.85,6.7,6.35,5.92
74,Estimates,Mauritania,,478,Country/Area,914,6.34,6.71,6.79,6.79,6.75,6.57,6.3,6.05,5.72,5.52,5.3,5.07,4.88,4.59
75,Estimates,Niger,,562,Country/Area,914,7.3,7.4,7.5,7.55,7.6,7.75,7.9,7.8,7.75,7.7,7.65,7.55,7.35,6.95
76,Estimates,Nigeria,,566,Country/Area,914,6.35,6.35,6.35,6.35,6.61,6.76,6.76,6.6,6.37,6.17,6.05,5.91,5.74,5.42
77,Estimates,Senegal,,686,Country/Area,914,6.8,6.9,7.1,7.25,7.25,7.25,7.25,6.7,6.2,5.7,5.25,5.1,5,4.65
78,Estimates,Sierra Leone,,694,Country/Area,914,6.03,6.03,6.25,6.41,6.57,6.65,6.72,6.72,6.69,6.48,6.11,5.57,4.84,4.32
79,Estimates,Togo,,768,Country/Area,914,6.33,6.42,6.65,6.94,7.2,7.28,7.06,6.5,5.9,5.54,5.31,5.04,4.69,4.35
80,Estimates,NORTHERN AFRICA AND WESTERN ASIA,,1833,SDG region,1828,6.57,6.53,6.55,6.42,6.13,5.75,5.34,4.76,4.12,3.57,3.2,3.07,3.09,2.93
81,Estimates,Northern Africa,,912,Subregion,1833,6.8,6.87,6.94,6.83,6.53,6.19,5.74,5.05,4.22,3.54,3.15,3.11,3.34,3.25
82,Estimates,Algeria,,12,Country/Area,912,7.28,7.38,7.65,7.65,7.57,7.18,6.32,5.3,4.12,2.89,2.38,2.72,2.96,3.05
83,Estimates,Egypt,,818,Country/Area,912,6.75,6.75,6.65,6.45,6,5.7,5.49,5,4.15,3.6,3.15,3.02,3.45,3.33
84,Estimates,Libya,,434,Country/Area,912,7.14,7.2,7.3,7.99,8.1,7.67,6.68,5.71,4.22,3.2,2.64,2.5,2.45,2.25
85,Estimates,Morocco,,504,Country/Area,912,6.61,6.9,7.1,6.85,6.4,5.9,5.4,4.43,3.7,2.97,2.67,2.53,2.6,2.42
86,Estimates,Sudan,,729,Country/Area,912,6.65,6.65,6.75,6.86,6.9,6.92,6.63,6.3,6,5.65,5.3,5,4.75,4.43
87,Estimates,Tunisia,,788,Country/Area,912,6.65,6.85,6.99,6.92,6.39,5.65,4.82,4,2.98,2.34,2.04,2.02,2.25,2.2
88,Estimates,Western Sahara,,732,Country/Area,912,6.34,6.42,6.53,6.6,6.57,6.23,5.33,4.6,4,3.4,2.85,2.55,2.6,2.41
89,Estimates,Western Asia,,922,Subregion,1833,6.35,6.2,6.19,6.04,5.78,5.36,4.99,4.51,4.04,3.6,3.24,3.03,2.86,2.65
90,Estimates,Armenia,,51,Country/Area,922,4.49,4.9,4.45,3.45,3.04,2.6,2.5,2.6,2.38,1.75,1.65,1.72,1.72,1.76
91,Estimates,Azerbaijan,4,31,Country/Area,922,5.2,5.6,6,5.4,4.6,3.8,3.3,3.2,2.9,2.25,1.9,1.83,2.09,2.08
92,Estimates,Bahrain,,48,Country/Area,922,6.97,6.97,7.17,6.97,5.95,5.23,4.63,4.08,3.4,2.95,2.65,2.25,2.12,2
93,Estimates,Cyprus,5,196,Country/Area,922,3.71,3.5,3.44,2.8,2.49,2.29,2.45,2.43,2.33,1.89,1.59,1.48,1.38,1.34
94,Estimates,Georgia,6,268,Country/Area,922,2.75,2.91,2.93,2.8,2.6,2.39,2.27,2.26,2.05,1.72,1.58,1.8,2,2.06
95,Estimates,Iraq,,368,Country/Area,922,7.3,6.2,6.6,7.4,7.15,6.8,6.35,6.09,5.65,5.19,4.71,4.4,4.25,3.68
96,Estimates,Israel,,376,Country/Area,922,4.28,3.89,3.85,3.78,3.81,3.47,3.13,3.07,2.93,2.93,2.91,2.93,3.04,3.04
97,Estimates,Jordan,,400,Country/Area,922,7.38,7.38,8,8,7.79,7.38,7.05,6.02,5.06,4.3,4,3.8,3.4,2.77
98,Estimates,Kuwait,,414,Country/Area,922,7.2,7.2,7.3,7.4,6.75,5.6,5,3.65,2.55,3,2.6,2.4,2.1,2.1
99,Estimates,Lebanon,,422,Country/Area,922,5.74,5.72,5.69,5.23,4.67,4.23,3.75,3.5,3.2,2.65,2.2,1.9,2.08,2.09
100,Estimates,Oman,,512,Country/Area,922,7.25,7.25,7.25,7.31,7.41,8.1,8.32,7.85,6.27,4.46,3.2,2.9,2.9,2.93
101,Estimates,Qatar,,634,Country/Area,922,6.97,6.97,6.97,6.97,6.75,6.1,5.45,4.4,3.74,3.46,2.95,2.23,2,1.88
102,Estimates,Saudi Arabia,,682,Country/Area,922,7.18,7.18,7.26,7.26,7.3,7.28,7.02,6.22,5.55,4.4,3.65,3.23,2.73,2.34
103,Estimates,State of Palestine,7,275,Country/Area,922,7.38,7.38,8,8,7.69,7.5,7.05,6.76,6.6,5.81,5.02,4.6,4.25,3.67
104,Estimates,Syrian Arab Republic,,760,Country/Area,922,7.23,7.38,7.54,7.56,7.54,7.32,6.77,5.87,4.8,4.3,3.9,3.7,3.1,2.84
105,Estimates,Turkey,,792,Country/Area,922,6.69,6.5,6.2,5.8,5.39,4.69,4.11,3.39,2.9,2.65,2.37,2.2,2.12,2.08
106,Estimates,United Arab Emirates,,784,Country/Area,922,6.97,6.97,6.87,6.77,6.45,5.75,5.3,4.9,3.93,2.97,2.4,1.97,1.7,1.42
107,Estimates,Yemen,,887,Country/Area,922,7.8,7.9,8,8.25,8.5,8.6,8.8,8.8,8.2,6.8,5.9,5,4.4,3.84
108,Estimates,CENTRAL AND SOUTHERN ASIA,,921,SDG region,1828,6,6.03,6.05,5.9,5.64,5.27,4.98,4.54,4.03,3.6,3.21,2.87,2.54,2.41
109,Estimates,Central Asia,,5500,Subregion,921,4.86,5.32,5.57,5.16,5.03,4.51,4.14,4,3.58,2.89,2.53,2.67,2.76,2.75
110,Estimates,Kazakhstan,,398,Country/Area,5500,4.41,4.56,4.43,3.67,3.61,3.23,3.04,3.03,2.55,2,2.01,2.54,2.67,2.76
111,Estimates,Kyrgyzstan,,417,Country/Area,5500,4.36,5.2,5.55,5.21,5.12,4.59,4.2,4.06,3.64,2.96,2.5,2.78,3.3,3
112,Estimates,Tajikistan,,762,Country/Area,5500,5.4,6.2,6.8,7,6.83,5.9,5.6,5.5,4.88,4.29,3.72,3.61,3.61,3.61
113,Estimates,Turkmenistan,,795,Country/Area,5500,5.3,6.2,6.8,6.56,6.19,5.6,4.79,4.55,4.03,3.03,2.76,2.65,3,2.79
114,Estimates,Uzbekistan,,860,Country/Area,5500,5.3,5.9,6.5,6.4,6.16,5.46,4.8,4.4,3.95,3.1,2.51,2.49,2.43,2.43
115,Estimates,Southern Asia,,5501,Subregion,921,6.04,6.06,6.07,5.93,5.66,5.31,5.02,4.56,4.05,3.63,3.24,2.88,2.53,2.4
116,Estimates,Afghanistan,,4,Country/Area,5501,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.47,7.48,7.65,7.18,6.48,5.45,4.56
117,Estimates,Bangladesh,,50,Country/Area,5501,6.36,6.62,6.8,6.92,6.91,6.63,5.98,4.98,4.06,3.43,2.94,2.48,2.21,2.05
118,Estimates,Bhutan,,64,Country/Area,5501,6.67,6.67,6.6,6.6,6.6,6.6,6.35,5.9,5,4,3.1,2.55,2.12,2
119,Estimates,India,,356,Country/Area,5501,5.9,5.9,5.89,5.72,5.41,4.97,4.68,4.27,3.83,3.48,3.14,2.8,2.4,2.24
120,Estimates,Iran (Islamic Republic of),,364,Country/Area,5501,6.91,6.91,6.91,6.68,6.24,6.28,6.53,5.62,3.7,2.4,1.92,1.82,1.91,2.15
121,Estimates,Maldives,,462,Country/Area,5501,6.03,6.81,7.12,7.22,7.17,6.85,7.26,6.66,5.16,3.39,2.4,2.29,2.11,1.88
122,Estimates,Nepal,,524,Country/Area,5501,5.96,5.96,5.96,5.96,5.87,5.8,5.62,5.33,4.97,4.41,3.49,2.81,2.32,1.93
123,Estimates,Pakistan,,586,Country/Area,5501,6.6,6.6,6.6,6.6,6.6,6.6,6.44,6.3,5.96,5.37,4.71,4.17,3.78,3.55
124,Estimates,Sri Lanka,,144,Country/Area,5501,5.8,5.8,5.2,4.7,4,3.61,3.19,2.64,2.38,2.24,2.26,2.28,2.21,2.21
125,Estimates,EASTERN AND SOUTH-EASTERN ASIA,,1832,SDG region,1828,5.69,5.28,5.62,5.64,4.66,3.3,2.83,2.81,2.12,1.87,1.82,1.82,1.84,1.83
126,Estimates,Eastern Asia,,906,Subregion,1832,5.63,5.05,5.49,5.57,4.42,2.86,2.45,2.6,1.81,1.6,1.57,1.59,1.63,1.65
127,Estimates,China,8,156,Country/Area,906,6.11,5.48,6.15,6.3,4.85,3.01,2.52,2.73,1.83,1.62,1.61,1.62,1.64,1.69
128,Estimates,"China, Hong Kong SAR",9,344,Country/Area,906,4.44,4.72,5.05,3.65,3.01,2.23,1.72,1.36,1.26,1.06,0.95,1.04,1.2,1.33
129,Estimates,"China, Macao SAR",10,446,Country/Area,906,4.39,4.81,4.41,2.74,1.79,1.41,2.06,2,1.41,1.12,0.85,0.98,1.19,1.2
130,Estimates,"China, Taiwan Province of China",11,158,Country/Area,906,6.72,6.14,5.41,4.38,3.33,2.74,2.23,1.77,1.76,1.67,1.33,1.05,1.11,1.15
131,Estimates,Dem. People's Republic of Korea,,408,Country/Area,906,3.46,5.12,3.85,4.39,4,2.85,2.8,2.36,2.25,2.01,2,1.95,1.93,1.91
132,Estimates,Japan,,392,Country/Area,906,2.96,2.17,2.03,2.04,2.13,1.83,1.76,1.65,1.48,1.37,1.3,1.34,1.41,1.37
133,Estimates,Mongolia,,496,Country/Area,906,5.6,6.3,7.5,7.5,7.5,6.65,5.75,4.84,3.27,2.4,2.08,2.4,2.84,2.9
134,Estimates,Republic of Korea,,410,Country/Area,906,5.65,6.33,5.6,4.65,4,2.92,2.23,1.57,1.68,1.5,1.21,1.17,1.23,1.11
135,Estimates,South-Eastern Asia,,920,Subregion,1832,5.93,6.12,6.09,5.92,5.49,4.81,4.2,3.57,3.11,2.69,2.53,2.42,2.34,2.22
136,Estimates,Brunei Darussalam,,96,Country/Area,920,6.9,6.89,6.66,5.9,5.49,4.45,3.79,3.47,3.08,2.51,2.22,1.88,2.02,1.85
137,Estimates,Cambodia,,116,Country/Area,920,6.95,6.95,6.95,6.7,6.16,5.42,6.37,5.99,5.13,4.25,3.44,3.08,2.7,2.52
138,Estimates,Indonesia,,360,Country/Area,920,5.49,5.67,5.62,5.57,5.3,4.73,4.11,3.4,2.9,2.55,2.53,2.5,2.45,2.32
139,Estimates,Lao People's Democratic Republic,,418,Country/Area,920,5.94,5.96,5.97,5.98,5.99,6.15,6.36,6.27,5.88,4.81,3.9,3.4,2.93,2.7
140,Estimates,Malaysia,12,458,Country/Area,920,6.35,6.38,6.37,5.38,4.72,4.2,3.97,3.67,3.44,3.13,2.45,2.22,2.11,2.01
141,Estimates,Myanmar,,104,Country/Area,920,6,6,6.1,6.1,5.74,5.15,4.6,3.78,3.2,2.95,2.8,2.5,2.25,2.17
142,Estimates,Philippines,,608,Country/Area,920,7.42,7.27,6.98,6.54,5.98,5.46,4.92,4.53,4.14,3.9,3.7,3.3,3.05,2.58
143,Estimates,Singapore,,702,Country/Area,920,6.61,6.34,5.12,3.65,2.82,1.84,1.69,1.7,1.73,1.57,1.35,1.26,1.23,1.21
144,Estimates,Thailand,,764,Country/Area,920,6.14,6.14,6.13,5.99,5.05,3.92,2.95,2.3,1.99,1.77,1.6,1.56,1.53,1.53
145,Estimates,Timor-Leste,,626,Country/Area,920,6.55,6.4,6.2,5.8,5.5,5,5.5,5.4,5.6,5.8,6.25,5.3,4.4,4.1
146,Estimates,Viet Nam,,704,Country/Area,920,5.4,6.16,6.42,6.46,6.33,5.5,4.6,3.85,3.23,2.25,1.92,1.93,1.96,2.06
147,Estimates,LATIN AMERICA AND THE CARIBBEAN,,1830,SDG region,1828,5.83,5.85,5.83,5.46,4.92,4.44,3.94,3.45,3.08,2.77,2.49,2.26,2.14,2.04
148,Estimates,Caribbean,,915,Subregion,1830,5.27,5.2,5.49,4.97,4.35,3.61,3.39,3.11,2.8,2.63,2.49,2.38,2.31,2.2
149,Estimates,Antigua and Barbuda,,28,Country/Area,915,4.5,4.5,4.3,4,3.26,2.24,2.14,2.07,2.09,2.2,2.16,2,2,2
150,Estimates,Aruba,13,533,Country/Area,915,5.65,5.15,4.4,3.3,2.65,2.45,2.36,2.3,2.17,1.95,1.82,1.76,1.8,1.9
151,Estimates,Bahamas,,44,Country/Area,915,4.05,4.31,4.5,3.58,3.54,2.95,3.05,2.65,2.64,2.33,1.87,1.91,1.81,1.76
152,Estimates,Barbados,,52,Country/Area,915,4.42,4.3,4.27,3.53,2.72,2.16,1.92,1.77,1.73,1.74,1.8,1.75,1.63,1.62
153,Estimates,Cuba,,192,Country/Area,915,4.15,3.7,4.68,4.18,3.55,2.15,1.85,1.85,1.58,1.61,1.59,1.58,1.71,1.62
154,Estimates,Curaçao,13,531,Country/Area,915,5.07,5.1,4.4,3.8,2.87,2.45,2.25,2.3,2.28,2.13,2.26,2.18,2.12,1.76
155,Estimates,Dominican Republic,,214,Country/Area,915,7.6,7.64,7.35,6.65,5.68,4.76,4.07,3.58,3.27,2.95,2.75,2.57,2.45,2.36
156,Estimates,Grenada,,308,Country/Area,915,5.8,6.7,6.4,4.8,4.6,4.3,4.23,4.14,3.46,2.81,2.43,2.3,2.18,2.07
157,Estimates,Guadeloupe,2,312,Country/Area,915,5.61,5.61,5.61,5.22,4.49,3.52,2.55,2.45,2.1,2.1,2.19,2.25,2.19,2.17
158,Estimates,Haiti,,332,Country/Area,915,6.3,6.3,6.3,6,5.6,5.8,6.21,5.7,5.15,4.62,4.08,3.62,3.26,2.96
159,Estimates,Jamaica,,388,Country/Area,915,4.22,5.08,5.64,5.78,5,4,3.55,3.1,2.84,2.7,2.45,2.28,2.08,1.99
160,Estimates,Martinique,2,474,Country/Area,915,5.71,5.71,5.45,5,4.08,2.65,2.14,2.14,1.96,1.9,1.93,2.04,1.98,1.88
161,Estimates,Puerto Rico,14,630,Country/Area,915,4.97,4.82,4.37,3.41,2.99,2.76,2.46,2.26,2.18,1.99,1.85,1.72,1.5,1.22
162,Estimates,Saint Lucia,,662,Country/Area,915,6,6.94,6.79,6.48,5.69,5.2,4.2,3.65,3.15,2.6,1.85,1.6,1.51,1.44
163,Estimates,Saint Vincent and the Grenadines,,670,Country/Area,915,7.33,7.33,7.02,6.41,5.54,4.42,3.64,3.1,2.85,2.55,2.24,2.13,2.01,1.9
164,Estimates,Trinidad and Tobago,,780,Country/Area,915,5.3,5.3,5.04,3.81,3.45,3.24,3.28,2.75,2.18,1.82,1.75,1.8,1.8,1.73
165,Estimates,United States Virgin Islands,14,850,Country/Area,915,5.25,5.49,5.67,5.52,4.66,3.49,2.97,3.02,2.79,2.19,2.14,2.42,2.29,2.05
166,Estimates,Central America,,916,Subregion,1830,6.77,6.82,6.76,6.68,6.27,5.44,4.6,3.99,3.5,3.11,2.81,2.54,2.39,2.23
167,Estimates,Belize,,84,Country/Area,916,6.65,6.55,6.45,6.35,6.25,6.2,5.4,4.7,4.35,3.85,3.35,2.84,2.58,2.32
168,Estimates,Costa Rica,,188,Country/Area,916,6.12,6.65,6.5,5.26,4.06,3.7,3.5,3.41,3.07,2.61,2.15,1.94,1.85,1.76
169,Estimates,El Salvador,,222,Country/Area,916,6.36,6.6,6.67,6.36,5.95,5.44,4.75,4.17,3.78,3.34,2.72,2.4,2.17,2.05
170,Estimates,Guatemala,,320,Country/Area,916,7.12,6.99,6.8,6.7,6.58,6.46,6.16,5.58,5.31,4.83,4.33,3.62,3.19,2.9
171,Estimates,Honduras,,340,Country/Area,916,7.5,7.5,7.42,7.42,7.05,6.6,6,5.37,4.92,4.56,3.87,3.24,2.73,2.49
172,Estimates,Mexico,,484,Country/Area,916,6.75,6.78,6.75,6.75,6.32,5.33,4.37,3.75,3.23,2.85,2.61,2.4,2.29,2.14
173,Estimates,Nicaragua,,558,Country/Area,916,7.2,7.45,7.2,6.95,6.75,6.35,5.85,5,4.2,3.4,2.91,2.68,2.54,2.42
174,Estimates,Panama,,591,Country/Area,916,5.76,5.87,5.79,5.41,4.88,4.19,3.63,3.24,2.92,2.81,2.68,2.63,2.6,2.47
